"ventura highway";"america";"U-Best Super Hits 40 DVD Collection Pack";12
"muskrat love";"Captain & tenille";"U-Best Super Hits 40 DVD Collection Pack";12
"bus stop";"graham goodman";"U-Best Super Hits 40 DVD Collection Pack";12
"cry like a baby";"pen, dan & spooner";"U-Best Super Hits 40 DVD Collection Pack";12
"sherry";"the four seasons";"U-Best Super Hits 40 DVD Collection Pack";12
"a hard day's night";"The Beatles";"U-Best Super Hits 40 DVD Collection Pack";12
"crying in the rain";"carole king";"U-Best Super Hits 40 DVD Collection Pack";12
"baby I love your way";"peter frampton";"U-Best Super Hits 40 DVD Collection Pack";12
"show me the way";"peter frampton";"U-Best Super Hits 40 DVD Collection Pack";12
"all by myself";"eric carmen";"U-Best Super Hits 40 DVD Collection Pack";12
"talking in your sleep";"crystal gayle";"U-Best Super Hits 40 DVD Collection Pack";12
"stupid cupid";"connie francis";"U-Best Super Hits 40 DVD Collection Pack";12
"will you love me tomorrow";"carole king";"U-Best Super Hits 40 DVD Collection Pack";13
"only the lonely (know how I feel)";"roy orbison";"U-Best Super Hits 40 DVD Collection Pack";13
"I started a joke";"the bee gees";"U-Best Super Hits 40 DVD Collection Pack";13
"georgy girl";"the seekers";"U-Best Super Hits 40 DVD Collection Pack";13
"to love somebody";"gibb, barry, & robbin";"U-Best Super Hits 40 DVD Collection Pack";13
"you light up my life";"debby bonne";"U-Best Super Hits 40 DVD Collection Pack";13
"emotion";"gibb, barry, & robbin";"U-Best Super Hits 40 DVD Collection Pack";13
"woman in love";"gibb, barry, & robbin";"U-Best Super Hits 40 DVD Collection Pack";13
"johnny angel";"shelly fabres";"U-Best Super Hits 40 DVD Collection Pack";13
"love letters in the sand";"pat boone";"U-Best Super Hits 40 DVD Collection Pack";13
"I go crazy";"prince";"U-Best Super Hits 40 DVD Collection Pack";13
"daydream believer";"the monkees";"U-Best Super Hits 40 DVD Collection Pack";13
"don't cry out loud";"melissa machester";"U-Best Super Hits 40 DVD Collection Pack";13
"the days of wine and roses";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";13
